"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 16:27:23 GMT 2024","Tue Apr 30 16:27:26 GMT 2024","2475","","","","PositiveTests","PositiveLogin","PositiveLogin",""
"passed","Tue Apr 30 16:27:23 GMT 2024","Tue Apr 30 16:27:26 GMT 2024","2372","","","","NegativeTests","LoginWithoutPassword","LoginWithoutPassword",""
"passed","Tue Apr 30 16:27:23 GMT 2024","Tue Apr 30 16:27:25 GMT 2024","2031","","","","PositiveTests","AddProjectTest","AddProjectTest",""
"passed","Tue Apr 30 16:27:23 GMT 2024","Tue Apr 30 16:27:41 GMT 2024","17654","","","","PositiveTests","NavigateToProductsTest","NavigateToProductsTest",""
"broken","Tue Apr 30 16:27:26 GMT 2024","Tue Apr 30 16:27:26 GMT 2024","720","","","","NegativeTests","LoginWithoutUsernameAndPassword","LoginWithoutUsernameAndPassword",""
