"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 16:43:58 GMT 2024","Tue Apr 30 16:44:01 GMT 2024","2950","","","","NegativeTests","LoginWithoutPassword","LoginWithoutPassword",""
"passed","Tue Apr 30 16:43:58 GMT 2024","Tue Apr 30 16:44:16 GMT 2024","18277","","","","PositiveTests","NavigateToProductsTest","NavigateToProductsTest",""
"broken","Tue Apr 30 16:43:58 GMT 2024","Tue Apr 30 16:44:00 GMT 2024","2630","","","","NegativeTests","LoginWithoutUsernameAndPassword","LoginWithoutUsernameAndPassword",""
"passed","Tue Apr 30 16:43:58 GMT 2024","Tue Apr 30 16:44:01 GMT 2024","3109","","","","PositiveTests","PositiveLogin","PositiveLogin",""
